month,max_precip_mm,city,country,alpha-3,region
1.0,12.6,Berlin,Germany,DEU,Europe
2.0,12.6,Berlin,Germany,DEU,Europe
3.0,16.0,Berlin,Germany,DEU,Europe
4.0,18.5,Berlin,Germany,DEU,Europe
5.0,19.25,Berlin,Germany,DEU,Europe
6.0,34.95,Berlin,Germany,DEU,Europe
7.0,14.2,Berlin,Germany,DEU,Europe
8.0,22.85,Berlin,Germany,DEU,Europe
9.0,7.05,Berlin,Germany,DEU,Europe
10.0,11.27,Berlin,Germany,DEU,Europe
11.0,6.3,Berlin,Germany,DEU,Europe
12.0,9.2,Berlin,Germany,DEU,Europe
1.0,20.8,Buenos Aires,Argentina,ARG,Americas
2.0,18.6,Buenos Aires,Argentina,ARG,Americas
3.0,18.0,Buenos Aires,Argentina,ARG,Americas
4.0,25.1,Buenos Aires,Argentina,ARG,Americas
5.0,65.25,Buenos Aires,Argentina,ARG,Americas
6.0,6.55,Buenos Aires,Argentina,ARG,Americas
7.0,24.53,Buenos Aires,Argentina,ARG,Americas
8.0,63.2,Buenos Aires,Argentina,ARG,Americas
9.0,48.8,Buenos Aires,Argentina,ARG,Americas
10.0,15.0,Buenos Aires,Argentina,ARG,Americas
11.0,65.59,Buenos Aires,Argentina,ARG,Americas
12.0,40.45,Buenos Aires,Argentina,ARG,Americas
1.0,6.8,Jasper,Canada,CAN,Americas
2.0,11.0,Jasper,Canada,CAN,Americas
3.0,9.1,Jasper,Canada,CAN,Americas
4.0,18.05,Jasper,Canada,CAN,Americas
5.0,73.25,Jasper,Canada,CAN,Americas
6.0,131.45,Jasper,Canada,CAN,Americas
7.0,14.4,Jasper,Canada,CAN,Americas
8.0,57.4,Jasper,Canada,CAN,Americas
9.0,20.4,Jasper,Canada,CAN,Americas
10.0,4.56,Jasper,Canada,CAN,Americas
11.0,7.5,Jasper,Canada,CAN,Americas
12.0,4.4,Jasper,Canada,CAN,Americas
1.0,4.4,Kaifeng,China,CHN,Asia
2.0,9.8,Kaifeng,China,CHN,Asia
3.0,6.2,Kaifeng,China,CHN,Asia
4.0,73.65,Kaifeng,China,CHN,Asia
5.0,84.05,Kaifeng,China,CHN,Asia
6.0,13.3,Kaifeng,China,CHN,Asia
7.0,52.05,Kaifeng,China,CHN,Asia
8.0,47.6,Kaifeng,China,CHN,Asia
9.0,28.28,Kaifeng,China,CHN,Asia
10.0,0.43,Kaifeng,China,CHN,Asia
11.0,5.4,Kaifeng,China,CHN,Asia
12.0,0.7,Kaifeng,China,CHN,Asia
1.0,46.5,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
2.0,17.0,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
3.0,241.2,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
4.0,29.9,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
5.0,15.1,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
6.0,7.5,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
7.0,0.0,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
8.0,6.8,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
9.0,10.17,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
10.0,22.47,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
11.0,20.0,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
12.0,13.2,Kinshasa,"Congo, Democratic Republic of the",COD,Africa
1.0,11.5,Lisbon,Portugal,PRT,Europe
2.0,12.2,Lisbon,Portugal,PRT,Europe
3.0,19.6,Lisbon,Portugal,PRT,Europe
4.0,11.8,Lisbon,Portugal,PRT,Europe
5.0,3.3,Lisbon,Portugal,PRT,Europe
6.0,8.7,Lisbon,Portugal,PRT,Europe
7.0,0.6,Lisbon,Portugal,PRT,Europe
8.0,0.1,Lisbon,Portugal,PRT,Europe
9.0,14.3,Lisbon,Portugal,PRT,Europe
10.0,11.24,Lisbon,Portugal,PRT,Europe
11.0,6.7,Lisbon,Portugal,PRT,Europe
12.0,25.98,Lisbon,Portugal,PRT,Europe
1.0,2.1,Miami,United States of America,USA,Americas
2.0,7.8,Miami,United States of America,USA,Americas
3.0,21.4,Miami,United States of America,USA,Americas
4.0,33.4,Miami,United States of America,USA,Americas
5.0,23.3,Miami,United States of America,USA,Americas
6.0,29.7,Miami,United States of America,USA,Americas
7.0,16.3,Miami,United States of America,USA,Americas
8.0,19.85,Miami,United States of America,USA,Americas
9.0,63.54,Miami,United States of America,USA,Americas
10.0,20.85,Miami,United States of America,USA,Americas
11.0,24.9,Miami,United States of America,USA,Americas
12.0,16.2,Miami,United States of America,USA,Americas
1.0,0.0,Sittwe,Myanmar,MMR,Asia
2.0,0.0,Sittwe,Myanmar,MMR,Asia
3.0,1.2,Sittwe,Myanmar,MMR,Asia
4.0,8.05,Sittwe,Myanmar,MMR,Asia
5.0,160.5,Sittwe,Myanmar,MMR,Asia
6.0,84.75,Sittwe,Myanmar,MMR,Asia
7.0,60.7,Sittwe,Myanmar,MMR,Asia
8.0,131.25,Sittwe,Myanmar,MMR,Asia
9.0,152.7,Sittwe,Myanmar,MMR,Asia
10.0,93.14,Sittwe,Myanmar,MMR,Asia
11.0,2.4,Sittwe,Myanmar,MMR,Asia
12.0,0.2,Sittwe,Myanmar,MMR,Asia
1.0,16.8,Sydney,Australia,AUS,Oceania
2.0,27.9,Sydney,Australia,AUS,Oceania
3.0,44.7,Sydney,Australia,AUS,Oceania
4.0,35.05,Sydney,Australia,AUS,Oceania
5.0,11.95,Sydney,Australia,AUS,Oceania
6.0,14.35,Sydney,Australia,AUS,Oceania
7.0,8.3,Sydney,Australia,AUS,Oceania
8.0,33.85,Sydney,Australia,AUS,Oceania
9.0,6.6,Sydney,Australia,AUS,Oceania
10.0,12.3,Sydney,Australia,AUS,Oceania
11.0,11.26,Sydney,Australia,AUS,Oceania
12.0,5.4,Sydney,Australia,AUS,Oceania
1.0,0.8,Yakutsk,Russian Federation,RUS,Europe
2.0,5.0,Yakutsk,Russian Federation,RUS,Europe
3.0,11.6,Yakutsk,Russian Federation,RUS,Europe
4.0,6.4,Yakutsk,Russian Federation,RUS,Europe
5.0,8.2,Yakutsk,Russian Federation,RUS,Europe
6.0,24.25,Yakutsk,Russian Federation,RUS,Europe
7.0,15.93,Yakutsk,Russian Federation,RUS,Europe
8.0,35.65,Yakutsk,Russian Federation,RUS,Europe
9.0,8.5,Yakutsk,Russian Federation,RUS,Europe
10.0,5.21,Yakutsk,Russian Federation,RUS,Europe
11.0,3.0,Yakutsk,Russian Federation,RUS,Europe
12.0,2.2,Yakutsk,Russian Federation,RUS,Europe
